obs_index,t_plus_1,pop_num,phor_type,R,mu,mu_intercept,mu_adult,mu_flower,frac_intercept,frac_adult,frac_flower
1,3,209,occ,0,0.6597286293487494,0.2327550322753508,0.11089270904465431,0.316080887978763,0.35280420148677605,0.16808836862835855,0.479107429809105
2,4,209,occ,0,0.6624911423800013,0.2327550322753508,0.16531088225159038,0.2644252280899296,0.3513330479245016,0.24952919620587014,0.3991377562271719
3,5,209,occ,0,0.8224908042149985,0.2327550322753508,0.18367936957684003,0.4060564025321892,0.2829880055589154,0.22332087925547964,0.49369111539154226
4,6,209,occ,1,0.8610759438124984,0.2327550322753508,0.17528711263242622,0.45303379873067373,0.2703072057091794,0.2035675411582459,0.5261252529304465
5,7,209,occ,0,0.736986326072501,0.2327550322753508,0.16100112292933624,0.3432301706789126,0.31582001462053383,0.21845876542558507,0.4657212196975651
6,8,209,occ,0,0.7220685793699984,0.2327550322753508,0.14898456087655862,0.3403289862300645,0.3223447729555391,0.2063302089761986,0.4713250180848474
7,9,209,occ,0,0.6780881443537521,0.2327550322753508,0.14286173184392464,0.30247138026848464,0.3432518828318059,0.21068312878420575,0.4460649884341411
8,10,209,occ,1,0.6253789484062511,0.2327550322753508,0.15125398867993464,0.2413699272843351,0.37218239096233746,0.24185973810822756,0.3859578706629877
9,11,209,occ,2,0.6460501004687506,0.2327550322753508,0.17393223537369626,0.2393628328126013,0.36027396653366695,0.2692240667519397,0.3705019667034001
10,12,209,occ,0,0.5775811427175,0.2327550322753508,0.1918425301706861,0.15298358018208633,0.4029823951319569,0.33214818833605503,0.2648694163772447
11,3,229,occ,0,1.0340520366449966,0.2327550322753508,0.37143573332266516,0.4298612706094209,0.22509025080645784,0.35920410207574865,0.41570564669464294
12,4,229,occ,0,1.160794687433752,0.2327550322753508,0.5390215469245384,0.38901810881115206,0.2005135230157869,0.4643556287427453,0.33513084873879023
13,5,229,occ,1,1.3390513425650044,0.2327550322753508,0.5616997934214389,0.5445965168736346,0.17382084232072803,0.419475919680183,0.4067032380031367
14,6,229,occ,0,1.3980273707025013,0.2327550322753508,0.5880023449599142,0.5772699935807651,0.16648817981181058,0.4205943011433647,0.4129175191260312
15,7,229,occ,0,1.056787415453751,0.2327550322753508,0.5054346538936187,0.31859772963305294,0.22024773277169765,0.4782746714263257,0.30147759613153335
