lag,lag_label,mean,median,q05,q95
0,lag0 (0-6mo),0.22714237784654587,0.18777970500000002,0.0161263817,0.5741448889999995
1,lag1 (6-12mo),0.16314982879487325,0.123437255,0.0100987839,0.455353855
2,lag2 (12-18mo),0.18697102273120825,0.14644339,0.0110095264,0.49832731199999986
3,lag3 (18-24mo),0.22436823264648376,0.18478424,0.014868664950000002,0.5687944779999997
4,lag4 (24-30mo),0.19836853788944875,0.153986445,0.012712064799999999,0.5211783924999999
